[[522.9511450381681], [3263.974121996303], [1.0]]
[[514.2122137404581], [3263.974121996303], [1.0]]
[[502.5603053435116], [3259.5878003696857], [1.0]]
[[496.7343511450383], [3259.5878003696857], [1.0]]
[[490.90839694656506], [3242.0425138632163], [1.0]]
[[482.16946564885507], [3237.6561922365986], [1.0]]
[[470.51755725190856], [3237.6561922365986], [1.0]]
[[467.60458015267204], [3250.815157116451], [1.0]]
[[455.9526717557254], [3259.5878003696857], [1.0]]
[[445.75725190839717], [3255.2014787430685], [1.0]]
[[429.73587786259566], [3263.974121996303], [1.0]]
[[426.8229007633589], [3259.5878003696857], [1.0]]
[[416.6274809160308], [3259.5878003696857], [1.0]]
[[419.5404580152674], [3263.974121996303], [1.0]]
[[416.6274809160308], [3259.5878003696857], [1.0]]
[[416.6274809160308], [3259.5878003696857], [1.0]]
[[410.8015267175574], [3246.4288354898335], [1.0]]
[[407.8885496183208], [3237.6561922365986], [1.0]]
[[416.6274809160308], [3224.497227356747], [1.0]]
[[402.0625954198475], [3220.110905730129], [1.0]]
[[402.0625954198475], [3215.724584103512], [1.0]]
[[1063.308396946565], [395.31977818853966], [1.0]]
[[391.8671755725193], [3220.110905730129], [1.0]]
[[387.4977099236644], [3215.724584103512], [1.0]]
[[386.041221374046], [3215.724584103512], [1.0]]
[[380.2152671755727], [3228.883548983364], [1.0]]
[[371.4763358778627], [3233.2698706099814], [1.0]]
[[365.65038167938945], [3242.0425138632163], [1.0]]
[[359.8244274809162], [3246.4288354898335], [1.0]]
[[352.5419847328246], [3246.4288354898335], [1.0]]
[[353.99847328244294], [3250.815157116451], [1.0]]
[[349.62900763358795], [3246.4288354898335], [1.0]]
[[314.6732824427483], [3242.0425138632163], [1.0]]
[[336.52061068702307], [3237.6561922365986], [1.0]]
[[300.10839694656505], [3246.4288354898335], [1.0]]
[[332.15114503816807], [3242.0425138632163], [1.0]]
[[329.23816793893144], [3242.0425138632163], [1.0]]
[[330.6946564885498], [3242.0425138632163], [1.0]]
[[316.12977099236656], [3242.0425138632163], [1.0]]
[[320.49923664122156], [3242.0425138632163], [1.0]]
[[284.08702290076354], [3242.0425138632163], [1.0]]
[[983.2015267175574], [386.54713493530494], [1.0]]
[[980.2885496183206], [386.54713493530494], [1.0]]
[[977.3755725190841], [382.16081330868764], [1.0]]
[[973.006106870229], [377.77449168207016], [1.0]]
[[970.0931297709925], [373.3881700554529], [1.0]]
[[967.1801526717558], [373.3881700554529], [1.0]]
[[964.2671755725192], [369.00184842883544], [1.0]]
[[961.3541984732825], [364.61552680221797], [1.0]]
