[[-56.07508165 -41.51475599 -21.87593494], [-39.65394413 -25.09361847  -5.45479742], [-33.04210209 -18.48177643   1.15704463]]
[[-56.07525942 -41.51776147 -21.87593494], [-39.65412189 -25.09662394  -5.45479742], [-33.04227985 -18.4847819    1.15704463]]
[[-56.07540671 -41.52025184 -21.87593494], [-39.65426919 -25.09911432  -5.45479742], [-33.04242715 -18.48727227   1.15704463]]
[[-56.07550369 -41.52188727 -21.87593494], [-39.65436616 -25.10074975  -5.45479742], [-33.04252412 -18.48890771   1.15704463]]
[[-56.07558081 -41.52319112 -21.87593494], [-39.65444328 -25.1020536   -5.45479742], [-33.04260124 -18.49021156   1.15704463]]
[[-56.07578774 -41.52669182 -21.87593494], [-39.65465021 -25.10555429  -5.45479742], [-33.04280817 -18.49371225   1.15704463]]
[[-56.07574737 -41.52600934 -21.87593494], [-39.65460985 -25.10487181  -5.45479742], [-33.04276781 -18.49302977   1.15704463]]
[[-56.07594391 -41.52933002 -21.87593494], [-39.65480639 -25.1081925   -5.45479742], [-33.04296434 -18.49635046   1.15704463]]
[[-56.07598596 -41.53004095 -21.87593494], [-39.65484843 -25.10890342  -5.45479742], [-33.04300639 -18.49706138   1.15704463]]
[[-56.0760196  -41.53060748 -21.87593494], [-39.65488207 -25.10946995  -5.45479742], [-33.04304003 -18.49762791   1.15704463]]
[[-56.07602837 -41.5307579  -21.87593494], [-39.65489084 -25.10962038  -5.45479742], [-33.0430488  -18.49777833   1.15704463]]
[[-56.07607113 -41.53148097 -21.87593494], [-39.65493361 -25.11034344  -5.45479742], [-33.04309157 -18.4985014    1.15704463]]
[[-56.07604472 -41.53102775 -21.87593494], [-39.65490719 -25.10989023  -5.45479742], [-33.04306515 -18.49804818   1.15704463]]
[[-56.07589176 -41.52843522 -21.87593494], [-39.65475423 -25.1072977   -5.45479742], [-33.04291219 -18.49545566   1.15704463]]
[[-56.07583962 -41.52754055 -21.87593494], [-39.65470209 -25.10640303  -5.45479742], [-33.04286005 -18.49456099   1.15704463]]
[[-56.07572914 -41.52565557 -21.87593494], [-39.65459162 -25.10451804  -5.45479742], [-33.04274958 -18.492676     1.15704463]]
[[-56.07515977 -41.51599586 -21.87593494], [-39.65402224 -25.09485834  -5.45479742], [-33.0421802  -18.48301629   1.15704463]]
[[-56.07499088 -41.5131356  -21.87593494], [-39.65385336 -25.09199807  -5.45479742], [-33.04201131 -18.48015603   1.15704463]]
[[-56.0747692  -41.50937721 -21.87593494], [-39.65363167 -25.08823969  -5.45479742], [-33.04178963 -18.47639764   1.15704463]]
[[-56.07462924 -41.50700213 -21.87593494], [-39.65349171 -25.08586461  -5.45479742], [-33.04164967 -18.47402257   1.15704463]]
[[-56.07442103 -41.50347222 -21.87593494], [-39.65328351 -25.0823347   -5.45479742], [-33.04144146 -18.47049266   1.15704463]]
[[-56.07423567 -41.50032468 -21.87593494], [-39.65309814 -25.07918715  -5.45479742], [-33.0412561  -18.46734511   1.15704463]]
[[-56.07402725 -41.49679625 -21.87593494], [-39.65288973 -25.07565872  -5.45479742], [-33.04104769 -18.46381668   1.15704463]]
[[-56.07381313 -41.49316793 -21.87593494], [-39.65267561 -25.0720304   -5.45479742], [-33.04083357 -18.46018836   1.15704463]]
[[-56.07360794 -41.48969076 -21.87593494], [-39.65247041 -25.06855324  -5.45479742], [-33.04062837 -18.45671119   1.15704463]]
[[-56.07335421 -41.48539273 -21.87593494], [-39.65221668 -25.0642552   -5.45479742], [-33.04037464 -18.45241316   1.15704463]]
[[-56.07315757 -41.48206489 -21.87593494], [-39.65202004 -25.06092736  -5.45479742], [-33.040178   -18.44908532   1.15704463]]
[[-56.07280079 -41.47601754 -21.87593494], [-39.65166326 -25.05488002  -5.45479742], [-33.03982122 -18.44303797   1.15704463]]
[[-56.07256795 -41.47207454 -21.87593494], [-39.65143042 -25.05093702  -5.45479742], [-33.03958838 -18.43909497   1.15704463]]
[[-56.07233485 -41.46812962 -21.87593494], [-39.65119732 -25.04699209  -5.45479742], [-33.03935528 -18.43515005   1.15704463]]
[[-56.07208571 -41.46391139 -21.87593494], [-39.65094819 -25.04277386  -5.45479742], [-33.03910615 -18.43093182   1.15704463]]
[[-56.0719358  -41.46137329 -21.87593494], [-39.65079828 -25.04023576  -5.45479742], [-33.03895624 -18.42839372   1.15704463]]
[[-56.07171674 -41.45766541 -21.87593494], [-39.65057921 -25.03652789  -5.45479742], [-33.03873717 -18.42468585   1.15704463]]
[[-56.07152149 -41.45436326 -21.87593494], [-39.65038396 -25.03322573  -5.45479742], [-33.03854192 -18.42138369   1.15704463]]
[[-56.07109395 -41.44712657 -21.87593494], [-39.64995642 -25.02598904  -5.45479742], [-33.03811438 -18.414147     1.15704463]]
[[-56.07091555 -41.44410885 -21.87593494], [-39.64977802 -25.02297132  -5.45479742], [-33.03793598 -18.41112928   1.15704463]]
[[-56.07016893 -41.43147352 -21.87593494], [-39.6490314  -25.01033599  -5.45479742], [-33.03718936 -18.39849395   1.15704463]]
[[-56.06959488 -41.42176774 -21.87593494], [-39.64845736 -25.00063022  -5.45479742], [-33.03661531 -18.38878818   1.15704463]]
